"__v",_id,keyword,newsPolarity,newsPolarityConfidence,twitterPolarity,twitterPolarityConfidence
0,5adc3c94501816b2c40328df,Trump,neutral,0.6938340663909912,neutral,0.8269824385643005
0,5adc3c94501816b2c40328e0,KunjaloD,positive,0.5100715861483508,positive,0.9709439277648926
0,5adc3c94501816b2c40328e1,Brexit,positive,0.9302167296409607,neutral,0.8273270130157471
0,5adc3c94501816b2c40328e2,May,neutral,0.9994872808456421,positive,0.7600215077400208
0,5adc3c94501816b2c40328e3,Politics,neutral,0.6367602944374084,negative,0.9151880145072937
0,5adc3c94501816b2c40328e4,BBC,positive,0.6641727685928345,positive,0.6338891386985779
0,5adc3c94501816b2c40328e5,Theresa,positive,0.5732558369636536,positive,0.7600215077400208
0,5adc3c94501816b2c40328e6,RealJamesWoods,positive,0.792926549911499,negative,0.7190148830413818
